id,relative_velocity,miss_distance
54275914,67525.28231,24584217.91
54275865,39772.28561,18539381.48
54275865,54644.34936,14317832.55
54275865,51064.01903,19670560.75
54275865,51054.08918,18951.26761
54275853,42604.69436,9777491.175
54275852,27826.21381,17818815.65
54275849,97087.78409,22110651.37
54275848,78315.36182,69349747.94
54275768,38571.70584,4487784.857
54275765,76275.53834,60476758.09
54274787,59275.0235,1629915.723
54272765,83334.27884,559383.1323
54272764,59207.58445,27534247.51
54272764,48992.50147,1110437.613
54272763,48014.68181,12575085.82
54272763,111430.7789,74381461.19
54272763,56026.7761,1455299.419
54272762,52348.18455,59295391.91
54272762,19561.11125,2844972.496
54272760,62137.93002,13073359.94
54272760,80827.41245,39043253.2
54272760,91365.96041,53120201.93
54272760,33055.78463,60078375.67
54272760,45585.10113,10516273.0
54272760,53925.84101,2242957.801
54272759,32628.31064,10340193.57
54272757,22902.36465,2454474.678
54272756,34153.42255,33764465.14
54272755,22761.63014,8305413.248
54272754,92760.21049,58586404.1
54272754,43800.35639,24615842.84
54271311,41251.79274,9648058.305
54271310,18547.61831,6453906.997
54271309,31233.43642,1744057.401
54271308,65186.18079,57192304.67
54271308,51652.41875,36737952.88
54271308,39280.53782,16989718.84
54271308,30011.42472,7722297.057
54271307,35027.79832,1714560.292
54271307,34812.64783,1056607.542
54271306,42889.93651,1051322.997
54271305,35913.42926,1586312.237
54271304,66489.35172,69132405.25
54271304,55201.81515,51628583.87
54271304,29116.7225,51250008.9
54271304,44841.44335,34841897.38
54271304,27459.35987,45717474.87
54271304,29939.79653,8189433.4
54271304,24110.19965,36792793.55
54271304,36042.4766,19577909.17
54271304,25667.93411,40636948.05
54271304,26932.46358,6537260.536
54271303,83506.27808,67359652.09
54271303,74898.10214,55723901.17
54271303,66393.79611,44139665.92
54271303,57875.01493,32788693.43
54271303,49562.9961,22087517.24
54271303,41372.13209,13771041.77
54271303,33785.36189,13048922.08
54271303,26722.62863,20583966.18
54271303,28528.95076,51351967.3
54271303,30056.00127,51432209.59
54271303,38507.03463,47002309.18
54271303,29130.15104,47916409.28
54271303,33724.97904,43674055.18
54271303,27612.98757,42753896.75
54271303,26314.95464,37947927.13
54271303,25471.35953,35497552.0
54271303,29745.07583,53528194.44
54271303,42114.65001,48242978.9
54271303,30355.41564,54184302.29
54271303,42545.46518,49097197.58
54271303,30457.21236,53497311.96
54271303,41387.25935,48713342.53
54271303,24002.98262,25483376.43
54271303,28867.62324,13336394.9
54271303,36659.59143,1324557.702
54271302,64748.93406,60802747.75
54271302,26368.21873,425481.8038
54271301,26238.33916,3008995.939
54271300,27460.88347,63336418.43
54271300,25050.86318,60490986.52
54271300,20965.98307,55152283.65
54271300,50838.93788,59184017.13
54271300,20186.21512,17974767.09
54271300,33579.8428,36757642.06
54271300,19427.79267,819597.7215
54271299,11031.29955,38103143.6
54271298,36581.27406,15012750.45
54269718,86070.96759,20187096.88
54269717,85317.44158,63220223.97
54269717,41011.17244,584202.7803
54269716,62533.83827,225747.1801
54269715,51937.78343,43375545.23
54269715,70350.85668,67299349.0
54269715,43425.82335,35222161.77
54269715,20435.61088,28007020.54
54269715,20820.83603,28212579.76
54269715,27310.9701,38219924.47
54269714,30950.18818,3107355.955
54269713,66052.24028,70473682.2
54269713,23723.23859,49112368.57
54269713,53443.00814,49790346.79
54269713,23045.0218,41484128.81
54269713,35923.93977,23027918.47
54269713,21131.30039,31613193.1
54269713,22961.80665,725743.9523
54269712,34158.13478,44426620.34
54269711,151661.4223,70603641.88
54269711,128367.8467,44750131.4
54269710,21809.15027,30685838.06
54269709,42929.96084,23863747.31
54269709,31724.31633,74588494.78
54269709,61456.83062,28648919.19
54269709,59883.72205,43320100.44
54269648,110734.3093,2271962.06
54269647,35929.66454,2280777.115
54269647,54099.45919,60475600.77
54269647,52784.64965,26571767.86
54269647,42934.30076,53756675.54
54269647,26705.95621,28573714.82
54269647,25560.40134,43192946.62
54269647,86596.03297,70037466.6
54269647,35320.20776,146147.9187
54269646,27946.19889,3093954.559
54269645,42390.31346,1834883.534
54269644,27769.61031,2935089.804
54269643,71951.5421,68285772.39
54269642,120182.3766,37534381.53
54269642,93323.30598,14813105.57
54269642,68955.88456,39929601.73
54269642,72574.1696,32842936.59
54269642,59105.49903,66376387.28
54269642,58169.12757,72541078.84
54269642,95917.65569,3983964.692
54269641,50721.10564,15441423.43
54269585,78132.32599,68983006.04
54269585,49919.56142,34325334.02
54269585,34017.33599,15966874.24
54269585,60708.32127,48500075.7
54269585,46083.16597,64481616.13
54269585,61055.11054,70069004.6
54269585,55503.48528,65936172.42
54269585,70391.10918,59458811.17
54269585,67518.78569,71682142.64
54269585,65824.51211,70378783.88
54269585,33771.1003,56487150.91
54269585,43089.04643,25927263.56
54269585,26558.79318,3891812.075
54269584,38329.40832,4647919.787
54269583,81203.11901,68572153.71
54269583,65356.64894,46225551.62
54269583,50409.35234,25321292.46
54269583,38093.9397,9001584.169
54269583,32348.98459,1153379.547
54269582,26193.14372,2140269.14
54269581,29971.25374,4488542.136
54269580,70274.3817,42570673.87
54269580,56047.0216,18416831.76
54269580,31261.31757,66335477.26
54269580,44817.70742,5678780.862
54269579,23368.22437,45352117.33
54269579,64226.49768,73745084.76
54269579,22914.50421,48355757.46
54269579,15842.40001,27038701.67
54269579,20400.03108,4232001.281
54269578,105831.3671,34320762.15
54269577,89982.32407,1546126.808
54269576,18612.3071,63457951.38
54269576,48379.85404,43728592.56
54269576,19938.76208,728990.4504
54269399,32709.43869,4656304.972
54269399,28370.31162,56665575.78
54269399,32761.97688,4645110.803
54269398,48957.83194,40296653.27
54269398,21641.07436,221375.4516
54269397,50007.9221,31057435.03
54269397,16059.60303,51045130.88
54269397,21980.41055,13961380.99
54269397,29034.82522,401082.3464
54269396,61105.63077,47429575.1
54269396,40379.40643,239785.4442
54269395,37917.21366,2607078.193
54269394,45650.22754,15341960.77
54269393,22248.7175,4807364.772
54269392,51775.95689,69696693.23
54269392,37356.43565,74775140.97
54269063,90479.22012,67781722.16
54269063,79198.11915,44888176.43
54269063,70705.63411,23929918.77
54269063,66034.2317,17194227.63
54269063,63421.43955,54779486.23
54269063,65679.31963,34177008.85
54269063,60095.22575,32535887.21
54269063,69154.10151,56042699.33
54269063,60477.23763,11087713.45
54269062,75063.83511,4350959.443
54269061,69327.88794,6217555.033
54269060,29182.32405,942919.4586
54269059,74020.71296,50886890.69
54269059,41637.82265,70221264.68
54269059,52092.07256,7105747.327
54269058,27962.02031,222489.7463
54269057,57161.46004,46534324.75
54269057,36280.07928,17515562.56
54269057,23673.04375,1715638.04
54269056,86991.56601,23965137.86
54269055,55822.6932,125980.3606
54269054,11361.71064,9409070.202
54269054,39011.58179,33511148.25
54269054,66706.34311,71805721.49
54269054,66668.36065,70230278.97
54269054,38002.74827,30836403.9
54269054,11854.85277,9045769.905
54269053,75958.74165,74095050.41
54269053,49849.06773,29842803.57
54269052,41067.03295,28022888.31
54269052,25068.06284,51294694.5
54269052,73422.78331,73305585.71
54269052,18257.5008,37864135.36
54269052,17018.70931,16270438.13
54269052,55261.02185,48029666.79
54269052,59028.734,53218478.0
54269052,25702.54473,52509580.04
54269052,15838.12904,14272158.76
54268819,48552.4338,59010707.31
54268819,14772.5927,52369244.71
54268819,11779.86886,8772202.18
54268818,104888.8317,36738672.48
54268817,33343.61364,53058017.58
54268817,54818.14991,50163385.1
54268817,32781.41582,16943740.77
54268816,52055.20781,8702944.933
54268815,36902.72832,8693391.12
54268814,31705.71145,28479280.46
54268813,30774.33811,37489039.03
54268813,46529.62827,55065987.25
54268813,81361.43266,45333263.6
54268813,65952.47738,23353587.34
54268813,36430.22221,31457406.5
54268813,45820.42218,9815345.883
54268812,24145.04435,11367176.68
54268811,73004.79658,11896275.74
54268810,64329.35725,38275945.02
54268810,49349.52496,5579675.909
54268810,48105.61808,45335047.98
54268810,50212.67766,16545028.03
54268808,77714.28216,36800533.52
54268808,51624.79489,10920188.31
54268807,22364.69768,26475970.71
54268806,46272.98538,1437095.333
54268805,26992.25708,22459041.96
54268804,31016.52044,25987002.31
54268451,66157.22888,69949967.9
54268451,40820.70759,34575023.95
54268451,17624.78024,4746879.332
54268450,61986.94897,63744119.77
54268450,19245.23996,6190997.058
54268449,63650.67514,3609709.567
54268448,69175.98775,68206521.2
54268448,54531.90196,48321027.67
54268448,22310.8471,66603452.61
54268448,40009.95882,29130319.63
54268448,17094.65513,56363335.48
54268448,26550.70876,13654739.81
54268448,17632.87882,7244336.589
54268448,18004.68591,9477581.389
54268448,25018.40096,54570.2811
54268447,63316.09336,872991.0712
54268446,43156.25189,10427799.64
54268446,68433.90316,36588959.02
54268446,78235.03125,49687090.73
54268446,66215.63065,33998832.91
54268446,81370.37039,53358428.1
54268446,42734.4269,10087818.94
54268446,34694.16446,5757855.933
54268445,95595.10826,18554130.07
54268444,71774.55825,62593117.15
54268444,18178.77297,72153080.14
54268444,49272.15972,30692012.38
54268444,28078.95613,1387057.867
54268443,22417.36925,4172047.646
54268443,25011.04614,54390097.59
54268443,27475.33589,59918392.04
54268443,38567.18239,18506423.05
54268443,26613.85887,58319617.12
54268443,33107.03635,10887584.82
54268443,25677.96074,55714173.78
54268443,25984.14038,470951.0143
54268442,35380.6642,56393874.41
54268442,35139.01207,40916642.68
54268442,63805.67137,66272881.1
54268442,68701.18533,44044264.4
54268442,82327.04301,50608306.23
54268442,54717.76762,66096306.87
54268442,35433.19156,47001583.24
54268442,53361.54053,59732912.24
54268442,87715.39256,65862985.21
54268442,65538.75385,70364483.52
54268442,32734.11146,44932167.79
54268442,38468.31005,49395214.53
54268442,63206.5558,24558894.98
54268442,45887.16669,788256.8929
54268441,75325.40566,7380715.438
54268440,38131.20641,2630851.808
54268439,41392.4792,9019937.255
54268438,56179.44175,7691842.401
54268437,36627.59605,10425291.76
54268437,83296.86517,55207460.08
54268437,84647.34458,57196284.26
54268437,31870.69438,72537376.35
54268437,42694.78641,41926245.13
54268437,29833.85394,66640180.67
54268437,36510.61851,10665544.42
54268437,43814.52494,1024678.479
54268436,99171.70307,24592796.57
54268435,63373.73397,64377540.02
54268435,37254.51398,52865199.88
54268435,43333.31763,45371571.73
54268435,36249.98024,4563009.487
